date;PGA Tour;National living wage;Dorset;tennessee;air travel;isPartial
2023-01-01;4;1;92;7;7;False
2023-01-02;4;2;97;9;9;False
2023-01-03;3;4;99;10;6;False
2023-01-04;3;6;94;10;9;False
2023-01-05;15;4;92;8;7;False
2023-01-06;14;7;90;11;7;False
2023-01-07;20;3;79;8;5;False
2023-01-08;21;3;84;10;8;False
2023-01-09;14;5;92;9;5;False
2023-01-10;3;6;88;7;8;False
2023-01-11;4;5;92;7;9;False
2023-01-12;13;6;94;8;7;False
2023-01-13;13;4;81;9;6;False
2023-01-14;13;3;85;14;5;False
2023-01-15;11;2;88;16;6;False
2023-01-16;7;5;96;12;7;False
2023-01-17;3;5;90;14;5;False
2023-01-18;6;6;99;14;8;False
2023-01-19;23;5;92;11;7;False
2023-01-20;20;6;87;9;6;False
2023-01-21;18;1;88;12;6;False
2023-01-22;27;1;83;11;7;False
2023-01-23;14;5;85;9;7;False
2023-01-24;6;5;91;9;5;False
2023-01-25;16;4;88;9;7;False
2023-01-26;22;6;86;8;7;False
2023-01-27;21;4;81;11;5;False
2023-01-28;30;4;77;17;6;False
2023-01-29;22;2;86;12;6;False
2023-01-30;10;6;95;7;10;False
2023-01-31;6;4;100;7;8;False
