date;Sky;iran;NBC Universal;antarctica;air travel;isPartial
2023-01-01;80;2;0;1;0;False
2023-01-02;77;1;0;1;0;False
2023-01-03;78;1;0;1;0;False
2023-01-04;69;2;0;1;0;False
2023-01-05;62;1;0;1;0;False
2023-01-06;67;1;0;1;0;False
2023-01-07;68;2;0;0;0;False
2023-01-08;64;2;0;1;0;False
2023-01-09;66;2;0;1;0;False
2023-01-10;67;1;0;1;0;False
2023-01-11;66;2;0;1;0;False
2023-01-12;58;2;0;1;0;False
2023-01-13;64;1;0;1;0;False
2023-01-14;83;3;0;1;0;False
2023-01-15;74;2;0;1;0;False
2023-01-16;67;1;0;1;0;False
2023-01-17;65;1;0;1;0;False
2023-01-18;65;2;0;1;0;False
2023-01-19;69;2;0;1;0;False
2023-01-20;67;2;0;1;0;False
2023-01-21;89;2;0;1;0;False
2023-01-22;78;1;0;1;0;False
2023-01-23;72;1;0;1;0;False
2023-01-24;69;1;0;1;0;False
2023-01-25;66;1;0;1;0;False
2023-01-26;65;1;0;1;0;False
2023-01-27;72;1;0;1;0;False
2023-01-28;78;1;0;0;0;False
2023-01-29;67;4;0;1;0;False
2023-01-30;70;3;0;1;0;False
2023-01-31;100;2;0;1;0;False
