date;john lydon;Arsenal Women;College sports;Thomas Frank;air travel;isPartial
2023-01-01;2;6;8;3;19;False
2023-01-02;1;5;6;30;23;False
2023-01-03;3;13;8;8;15;False
2023-01-04;0;4;9;3;22;False
2023-01-05;0;8;9;2;18;False
2023-01-06;2;8;8;6;18;False
2023-01-07;2;6;6;3;13;False
2023-01-08;3;12;9;1;21;False
2023-01-09;73;9;9;2;13;False
2023-01-10;46;9;10;2;20;False
2023-01-11;14;6;7;2;22;False
2023-01-12;18;11;9;3;19;False
2023-01-13;8;9;4;0;15;False
2023-01-14;7;16;8;5;14;False
2023-01-15;11;100;8;3;17;False
2023-01-16;53;9;12;2;17;False
2023-01-17;12;9;11;4;14;False
2023-01-18;10;6;6;0;20;False
2023-01-19;3;9;17;0;18;False
2023-01-20;7;5;10;6;15;False
2023-01-21;4;13;8;4;16;False
2023-01-22;0;32;5;6;18;False
2023-01-23;4;9;12;10;18;False
2023-01-24;0;7;15;7;14;False
2023-01-25;5;10;12;0;19;False
2023-01-26;1;49;9;3;17;False
2023-01-27;0;11;5;3;12;False
2023-01-28;2;9;7;0;17;False
2023-01-29;4;43;7;2;15;False
2023-01-30;1;12;8;0;25;False
2023-01-31;79;14;8;4;21;False
