date;Oscars;Royal Exchange;caroline flack;Job hunting;air travel;isPartial
2023-01-01;15;3;1;0;7;False
2023-01-02;11;4;3;0;8;False
2023-01-03;8;5;2;1;5;False
2023-01-04;8;5;2;0;8;False
2023-01-05;11;4;2;0;7;False
2023-01-06;9;5;16;0;7;False
2023-01-07;17;4;10;0;5;False
2023-01-08;12;6;43;0;8;False
2023-01-09;10;6;34;0;5;False
2023-01-10;11;4;14;0;7;False
2023-01-11;25;7;5;1;8;False
2023-01-12;16;6;4;0;7;False
2023-01-13;12;4;5;0;6;False
2023-01-14;13;4;7;1;5;False
2023-01-15;14;5;5;0;6;False
2023-01-16;16;6;8;0;6;False
2023-01-17;13;4;6;0;5;False
2023-01-18;10;3;3;0;7;False
2023-01-19;11;6;3;1;7;False
2023-01-20;11;5;1;0;5;False
2023-01-21;16;5;5;0;6;False
2023-01-22;16;3;3;0;6;False
2023-01-23;13;5;2;0;7;False
2023-01-24;100;6;4;1;5;False
2023-01-25;51;5;3;0;7;False
2023-01-26;29;5;1;1;6;False
2023-01-27;24;3;3;0;4;False
2023-01-28;29;2;1;0;6;False
2023-01-29;25;3;5;1;6;False
2023-01-30;20;6;3;0;9;False
2023-01-31;17;3;2;0;8;False
