date;Laura Ashley;Design;Monaco;Podcasts;air travel;isPartial
2023-01-01;6;61;9;7;2;False
2023-01-02;6;68;5;8;3;False
2023-01-03;6;80;5;7;2;False
2023-01-04;4;82;5;7;3;False
2023-01-05;4;80;5;8;2;False
2023-01-06;3;78;5;6;2;False
2023-01-07;7;67;7;6;2;False
2023-01-08;5;75;6;7;3;False
2023-01-09;3;87;5;8;1;False
2023-01-10;5;90;6;8;2;False
2023-01-11;4;90;8;7;3;False
2023-01-12;4;87;6;7;2;False
2023-01-13;4;76;5;5;2;False
2023-01-14;5;68;5;5;2;False
2023-01-15;5;72;9;6;2;False
2023-01-16;4;97;6;8;2;False
2023-01-17;3;91;5;7;2;False
2023-01-18;3;82;5;7;2;False
2023-01-19;4;85;5;8;2;False
2023-01-20;5;85;7;7;2;False
2023-01-21;5;72;5;5;2;False
2023-01-22;5;72;6;7;2;False
2023-01-23;4;90;5;7;2;False
2023-01-24;3;100;5;8;2;False
2023-01-25;4;88;5;6;2;False
2023-01-26;3;85;6;6;2;False
2023-01-27;4;78;5;6;1;False
2023-01-28;4;66;9;4;2;False
2023-01-29;5;73;8;5;2;False
2023-01-30;4;91;8;7;3;False
2023-01-31;5;91;7;6;3;False
