date;Amazon rainforest;Sunday with…;Taiwan;princess diana;air travel;isPartial
2023-01-01;5;0;18;24;12;False
2023-01-02;5;0;20;22;14;False
2023-01-03;8;0;24;18;9;False
2023-01-04;7;0;28;21;14;False
2023-01-05;6;0;40;26;11;False
2023-01-06;9;0;21;40;11;False
2023-01-07;4;0;20;34;8;False
2023-01-08;5;0;15;100;13;False
2023-01-09;8;0;21;59;8;False
2023-01-10;6;0;22;46;12;False
2023-01-11;10;0;23;40;14;False
2023-01-12;10;0;26;33;11;False
2023-01-13;9;0;20;29;9;False
2023-01-14;5;0;18;32;9;False
2023-01-15;7;0;20;35;10;False
2023-01-16;8;0;21;24;10;False
2023-01-17;9;0;22;21;9;False
2023-01-18;9;0;27;19;12;False
2023-01-19;9;0;22;17;11;False
2023-01-20;8;0;20;23;9;False
2023-01-21;2;0;42;28;10;False
2023-01-22;4;0;20;24;11;False
2023-01-23;10;0;20;20;11;False
2023-01-24;8;0;23;15;8;False
2023-01-25;8;0;19;15;12;False
2023-01-26;11;0;15;18;10;False
2023-01-27;6;0;18;15;7;False
2023-01-28;2;0;16;16;10;False
2023-01-29;7;0;16;19;9;False
2023-01-30;9;0;24;13;15;False
2023-01-31;9;0;23;12;13;False
