date;Sailing holidays;Post-traumatic stress disorder;Comets;royal family;air travel;isPartial
2023-01-01;2;0;1;73;16;False
2023-01-02;3;0;2;61;19;False
2023-01-03;0;0;0;46;12;False
2023-01-04;0;0;2;47;18;False
2023-01-05;1;0;2;68;15;False
2023-01-06;0;0;0;83;15;False
2023-01-07;2;0;1;85;11;False
2023-01-08;2;0;3;100;18;False
2023-01-09;3;0;3;84;10;False
2023-01-10;0;0;2;86;16;False
2023-01-11;0;0;0;71;19;False
2023-01-12;2;0;3;70;15;False
2023-01-13;1;1;2;56;12;False
2023-01-14;0;0;5;76;12;False
2023-01-15;4;0;5;80;14;False
2023-01-16;0;0;4;59;14;False
2023-01-17;0;0;3;51;12;False
2023-01-18;0;0;3;49;17;False
2023-01-19;1;2;6;40;15;False
2023-01-20;3;2;4;44;12;False
2023-01-21;0;1;7;56;13;False
2023-01-22;0;1;2;54;15;False
2023-01-23;0;0;3;49;15;False
2023-01-24;0;2;3;50;11;False
2023-01-25;2;2;3;41;16;False
2023-01-26;0;1;5;37;14;False
2023-01-27;2;0;4;34;10;False
2023-01-28;1;1;3;48;14;False
2023-01-29;2;0;0;41;13;False
2023-01-30;2;2;6;40;21;False
2023-01-31;0;0;4;35;17;False
