date;Tax avoidance;Jimi Hendrix;New South Wales politics;Malaysia;air travel;isPartial
2023-01-01;0;9;0;90;19;False
2023-01-02;3;12;0;88;22;False
2023-01-03;2;8;0;91;14;False
2023-01-04;3;5;0;88;22;False
2023-01-05;5;6;0;88;18;False
2023-01-06;0;10;0;78;18;False
2023-01-07;2;15;0;81;13;False
2023-01-08;4;15;0;96;21;False
2023-01-09;4;6;0;96;12;False
2023-01-10;2;13;0;100;19;False
2023-01-11;0;6;0;80;22;False
2023-01-12;4;13;0;88;18;False
2023-01-13;3;10;0;84;15;False
2023-01-14;3;11;0;80;14;False
2023-01-15;2;10;0;88;16;False
2023-01-16;4;7;0;81;17;False
2023-01-17;8;7;0;92;14;False
2023-01-18;0;7;0;74;20;False
2023-01-19;2;8;0;87;18;False
2023-01-20;7;10;0;69;15;False
2023-01-21;5;16;0;85;16;False
2023-01-22;5;5;0;81;17;False
2023-01-23;8;6;0;83;18;False
2023-01-24;4;6;0;84;14;False
2023-01-25;4;7;0;61;19;False
2023-01-26;4;6;0;73;17;False
2023-01-27;5;10;0;85;12;False
2023-01-28;2;9;0;70;16;False
2023-01-29;6;10;0;70;15;False
2023-01-30;0;5;0;77;25;False
2023-01-31;4;12;0;80;21;False
