date;FTX;Brighton & Hove Albion Women;Daily Mirror;Parthenon marbles;air travel;isPartial
2023-01-01;3;1;92;0;8;False
2023-01-02;6;0;100;0;9;False
2023-01-03;8;0;96;0;6;False
2023-01-04;10;0;88;1;9;False
2023-01-05;5;0;97;1;7;False
2023-01-06;6;1;100;1;7;False
2023-01-07;5;0;92;0;5;False
2023-01-08;6;0;99;0;9;False
2023-01-09;7;0;93;0;5;False
2023-01-10;5;0;93;3;8;False
2023-01-11;8;0;89;2;9;False
2023-01-12;10;0;95;1;8;False
2023-01-13;8;0;94;0;6;False
2023-01-14;5;1;90;0;6;False
2023-01-15;8;1;95;0;7;False
2023-01-16;8;0;92;0;7;False
2023-01-17;6;0;89;0;6;False
2023-01-18;5;0;90;2;8;False
2023-01-19;5;0;88;0;7;False
2023-01-20;7;0;83;1;6;False
2023-01-21;5;0;92;0;6;False
2023-01-22;4;0;93;1;7;False
2023-01-23;5;1;88;0;7;False
2023-01-24;4;1;85;0;6;False
2023-01-25;5;0;80;1;8;False
2023-01-26;5;0;81;0;7;False
2023-01-27;4;1;80;0;5;False
2023-01-28;2;0;80;0;7;False
2023-01-29;2;0;87;0;6;False
2023-01-30;4;0;90;0;10;False
2023-01-31;5;0;85;0;9;False
