date;Family finances;Rian Johnson;Igor Stravinsky;texas;air travel;isPartial
2023-01-01;0;11;1;100;12;False
2023-01-02;0;10;0;87;14;False
2023-01-03;0;5;0;69;9;False
2023-01-04;0;4;0;75;14;False
2023-01-05;1;5;0;66;12;False
2023-01-06;1;2;0;91;12;False
2023-01-07;0;3;0;87;9;False
2023-01-08;0;4;2;91;13;False
2023-01-09;0;2;1;85;8;False
2023-01-10;0;4;0;81;13;False
2023-01-11;0;3;0;76;14;False
2023-01-12;0;2;0;83;12;False
2023-01-13;1;1;0;75;10;False
2023-01-14;1;0;1;70;9;False
2023-01-15;0;1;3;84;11;False
2023-01-16;2;0;0;72;11;False
2023-01-17;0;2;0;73;9;False
2023-01-18;0;2;0;79;13;False
2023-01-19;0;0;0;68;12;False
2023-01-20;0;1;0;75;9;False
2023-01-21;0;0;0;81;10;False
2023-01-22;0;1;0;82;11;False
2023-01-23;1;1;0;81;11;False
2023-01-24;0;0;0;81;9;False
2023-01-25;1;2;0;80;12;False
2023-01-26;0;3;2;71;11;False
2023-01-27;0;3;0;71;7;False
2023-01-28;1;3;0;81;11;False
2023-01-29;0;0;0;81;10;False
2023-01-30;0;2;0;98;16;False
2023-01-31;0;0;0;83;13;False
