date;West End;ITV plc;Penny Mordaunt;Cannes 2022;air travel;isPartial
2023-01-01;82;0;0;2;14;False
2023-01-02;88;0;2;1;17;False
2023-01-03;81;1;2;1;11;False
2023-01-04;79;0;2;0;16;False
2023-01-05;67;1;0;0;13;False
2023-01-06;71;0;1;2;13;False
2023-01-07;100;4;2;4;10;False
2023-01-08;92;0;2;3;15;False
2023-01-09;70;0;2;2;9;False
2023-01-10;71;0;0;1;14;False
2023-01-11;67;3;3;0;16;False
2023-01-12;78;0;2;0;14;False
2023-01-13;73;0;1;0;11;False
2023-01-14;87;0;2;0;10;False
2023-01-15;79;0;2;0;12;False
2023-01-16;72;0;3;1;13;False
2023-01-17;65;1;4;0;10;False
2023-01-18;56;0;2;2;15;False
2023-01-19;71;1;3;6;13;False
2023-01-20;83;0;0;2;11;False
2023-01-21;71;1;0;1;12;False
2023-01-22;84;0;0;1;13;False
2023-01-23;74;2;3;0;13;False
2023-01-24;70;2;4;2;10;False
2023-01-25;75;0;5;0;14;False
2023-01-26;72;2;2;0;12;False
2023-01-27;78;3;2;0;9;False
2023-01-28;89;1;2;0;12;False
2023-01-29;78;0;2;0;11;False
2023-01-30;76;0;4;0;18;False
2023-01-31;75;0;4;0;15;False
