date;Food waste;John Cale;Premier League;Xbox One;air travel;isPartial
2023-01-01;0;0;67;3;0;False
2023-01-02;0;0;54;3;0;False
2023-01-03;0;0;61;2;0;False
2023-01-04;0;0;58;2;0;False
2023-01-05;0;0;42;2;0;False
2023-01-06;0;0;25;2;0;False
2023-01-07;0;0;23;2;0;False
2023-01-08;0;0;14;2;0;False
2023-01-09;0;0;10;2;0;False
2023-01-10;0;0;11;2;0;False
2023-01-11;0;0;13;2;0;False
2023-01-12;0;0;26;2;0;False
2023-01-13;0;0;29;2;0;False
2023-01-14;0;0;100;3;0;False
2023-01-15;0;0;79;2;0;False
2023-01-16;0;0;21;2;0;False
2023-01-17;0;0;16;2;0;False
2023-01-18;0;0;32;2;0;False
2023-01-19;0;0;37;2;0;False
2023-01-20;0;0;24;2;0;False
2023-01-21;0;0;91;2;0;False
2023-01-22;0;0;95;2;0;False
2023-01-23;0;0;35;2;0;False
2023-01-24;0;0;23;1;0;False
2023-01-25;0;0;13;2;0;False
2023-01-26;0;0;10;2;0;False
2023-01-27;0;0;14;2;0;False
2023-01-28;0;0;20;2;0;False
2023-01-29;0;0;15;2;0;False
2023-01-30;0;0;11;2;0;False
2023-01-31;0;0;12;2;0;False
