date;Gladys Berejiklian;Phoebe Waller-Bridge;Gadgets;Human Rights Act;air travel;isPartial
2023-01-01;0;35;59;10;69;False
2023-01-02;0;21;70;29;81;False
2023-01-03;7;5;100;37;53;False
2023-01-04;0;5;70;55;80;False
2023-01-05;0;9;77;55;66;False
2023-01-06;0;0;68;23;66;False
2023-01-07;0;23;64;38;48;False
2023-01-08;0;0;58;29;76;False
2023-01-09;0;14;56;46;45;False
2023-01-10;0;6;51;44;71;False
2023-01-11;0;21;51;71;81;False
2023-01-12;4;12;68;66;67;False
2023-01-13;0;12;70;35;54;False
2023-01-14;0;16;67;26;50;False
2023-01-15;0;6;74;27;60;False
2023-01-16;0;17;64;60;62;False
2023-01-17;8;11;58;31;50;False
2023-01-18;13;9;61;50;72;False
2023-01-19;4;7;83;54;65;False
2023-01-20;0;9;69;34;53;False
2023-01-21;0;9;59;26;57;False
2023-01-22;0;0;64;35;63;False
2023-01-23;4;0;93;37;65;False
2023-01-24;0;4;48;43;49;False
2023-01-25;0;17;77;29;68;False
2023-01-26;0;13;73;54;61;False
2023-01-27;0;18;58;41;42;False
2023-01-28;0;35;55;22;59;False
2023-01-29;8;27;85;11;54;False
2023-01-30;0;22;66;50;90;False
2023-01-31;6;13;63;44;75;False
