date;cody fisher;ben wallace;Leasehold;Reed Hastings;air travel;isPartial
2023-01-01;42;3;16;0;25;False
2023-01-02;49;3;20;0;29;False
2023-01-03;13;3;29;0;19;False
2023-01-04;18;0;32;3;29;False
2023-01-05;6;3;29;3;24;False
2023-01-06;9;0;27;0;24;False
2023-01-07;30;3;12;5;17;False
2023-01-08;22;0;20;0;27;False
2023-01-09;11;5;26;0;16;False
2023-01-10;3;2;29;0;26;False
2023-01-11;0;4;23;0;29;False
2023-01-12;11;2;31;2;24;False
2023-01-13;11;0;27;1;19;False
2023-01-14;7;3;27;0;18;False
2023-01-15;0;4;22;0;21;False
2023-01-16;5;7;30;0;22;False
2023-01-17;3;3;30;0;18;False
2023-01-18;0;6;28;4;26;False
2023-01-19;4;7;25;11;24;False
2023-01-20;0;5;26;11;19;False
2023-01-21;0;0;21;0;20;False
2023-01-22;0;3;19;0;23;False
2023-01-23;0;0;31;2;23;False
2023-01-24;7;3;37;0;18;False
2023-01-25;5;3;28;2;24;False
2023-01-26;1;0;28;0;22;False
2023-01-27;1;3;23;2;15;False
2023-01-28;3;0;26;0;21;False
2023-01-29;0;3;28;0;20;False
2023-01-30;0;12;100;0;32;False
2023-01-31;6;2;74;2;27;False
