date;Akon;Neil Jordan;George Osborne;Competition and Markets Authority;air travel;isPartial
2023-01-01;39;0;8;0;76;False
2023-01-02;24;0;0;0;90;False
2023-01-03;27;23;5;0;59;False
2023-01-04;26;5;9;0;89;False
2023-01-05;18;0;9;0;73;False
2023-01-06;12;0;9;0;73;False
2023-01-07;17;0;10;8;53;False
2023-01-08;37;0;26;0;84;False
2023-01-09;29;0;6;0;50;False
2023-01-10;30;0;6;0;79;False
2023-01-11;38;0;24;0;90;False
2023-01-12;35;10;0;5;75;False
2023-01-13;44;0;0;0;60;False
2023-01-14;50;9;7;0;56;False
2023-01-15;39;0;15;0;66;False
2023-01-16;19;0;26;0;68;False
2023-01-17;44;0;10;4;56;False
2023-01-18;20;0;5;6;80;False
2023-01-19;28;0;5;6;73;False
2023-01-20;20;0;17;13;59;False
2023-01-21;47;0;0;7;63;False
2023-01-22;12;0;0;0;70;False
2023-01-23;35;0;8;0;72;False
2023-01-24;15;11;0;0;55;False
2023-01-25;35;0;0;0;75;False
2023-01-26;42;7;13;0;68;False
2023-01-27;35;0;0;0;47;False
2023-01-28;41;6;0;0;66;False
2023-01-29;23;0;40;0;60;False
2023-01-30;25;0;0;6;100;False
2023-01-31;22;8;0;0;84;False
