date;NRL;Angelina Jolie;Chris Heaton-Harris;Environment;air travel;isPartial
2023-01-01;4;12;0;28;9;False
2023-01-02;2;12;0;41;11;False
2023-01-03;3;11;0;61;7;False
2023-01-04;2;14;0;68;11;False
2023-01-05;3;11;1;71;9;False
2023-01-06;4;13;0;62;9;False
2023-01-07;3;12;0;34;6;False
2023-01-08;2;11;0;50;10;False
2023-01-09;3;12;0;76;6;False
2023-01-10;2;7;0;92;9;False
2023-01-11;5;12;0;80;11;False
2023-01-12;2;8;2;100;9;False
2023-01-13;3;7;0;70;7;False
2023-01-14;3;12;0;43;7;False
2023-01-15;3;12;0;47;8;False
2023-01-16;4;7;0;78;8;False
2023-01-17;2;8;0;81;7;False
2023-01-18;3;9;0;75;10;False
2023-01-19;4;9;0;75;9;False
2023-01-20;3;8;0;71;7;False
2023-01-21;3;13;0;30;8;False
2023-01-22;2;14;0;40;8;False
2023-01-23;4;9;0;81;9;False
2023-01-24;5;9;0;79;7;False
2023-01-25;4;7;0;71;9;False
2023-01-26;3;13;0;82;8;False
2023-01-27;3;10;0;65;6;False
2023-01-28;2;11;0;33;8;False
2023-01-29;3;9;0;40;7;False
2023-01-30;5;8;1;75;12;False
2023-01-31;5;9;0;79;10;False
