date;Daniel Barenboim;Nadhim Zahawi;Bars, pubs and clubs;Work-life balance;air travel;isPartial
2023-01-01;0;1;0;0;5;False
2023-01-02;0;0;0;0;6;False
2023-01-03;0;0;0;0;4;False
2023-01-04;0;0;0;0;6;False
2023-01-05;0;0;0;0;5;False
2023-01-06;0;0;0;0;5;False
2023-01-07;1;1;0;0;3;False
2023-01-08;0;0;0;0;5;False
2023-01-09;1;0;0;0;3;False
2023-01-10;0;0;0;0;5;False
2023-01-11;0;0;0;0;6;False
2023-01-12;1;0;0;0;5;False
2023-01-13;0;0;0;0;4;False
2023-01-14;0;0;0;0;4;False
2023-01-15;1;4;0;0;4;False
2023-01-16;0;9;0;0;4;False
2023-01-17;1;14;0;0;4;False
2023-01-18;0;7;0;0;5;False
2023-01-19;0;6;0;0;5;False
2023-01-20;0;8;0;0;4;False
2023-01-21;0;27;0;0;4;False
2023-01-22;0;22;0;0;4;False
2023-01-23;0;44;0;0;5;False
2023-01-24;0;29;0;0;4;False
2023-01-25;1;20;0;0;5;False
2023-01-26;0;21;0;1;4;False
2023-01-27;0;15;0;0;3;False
2023-01-28;0;5;0;0;4;False
2023-01-29;0;100;0;0;4;False
2023-01-30;1;35;0;0;6;False
2023-01-31;0;7;0;0;5;False
