date;Michael Flatley;Green building;Balearic Islands holidays;Associated Press;air travel;isPartial
2023-01-01;1;2;2;0;13;False
2023-01-02;0;8;0;0;15;False
2023-01-03;1;4;0;0;10;False
2023-01-04;0;2;2;1;15;False
2023-01-05;0;3;0;0;12;False
2023-01-06;1;2;1;0;13;False
2023-01-07;1;5;0;0;9;False
2023-01-08;0;3;2;0;14;False
2023-01-09;0;5;0;0;9;False
2023-01-10;2;8;1;0;13;False
2023-01-11;50;4;0;1;15;False
2023-01-12;100;3;0;4;13;False
2023-01-13;12;1;2;0;10;False
2023-01-14;7;1;1;0;10;False
2023-01-15;5;3;0;0;11;False
2023-01-16;3;5;0;1;12;False
2023-01-17;3;7;1;2;10;False
2023-01-18;4;4;0;0;14;False
2023-01-19;5;5;7;0;12;False
2023-01-20;5;4;2;1;10;False
2023-01-21;6;2;0;0;11;False
2023-01-22;31;3;0;1;12;False
2023-01-23;1;3;0;0;12;False
2023-01-24;1;4;2;1;9;False
2023-01-25;0;4;0;0;13;False
2023-01-26;1;3;0;0;12;False
2023-01-27;3;3;0;0;8;False
2023-01-28;1;4;0;1;11;False
2023-01-29;2;5;4;0;10;False
2023-01-30;3;6;2;3;17;False
2023-01-31;2;0;0;0;14;False
