date;dorset;Charlton Athletic;Australian trade unions;House of Representatives;air travel;isPartial
2023-01-01;92;15;0;1;7;False
2023-01-02;97;7;0;2;9;False
2023-01-03;99;6;0;8;6;False
2023-01-04;94;7;0;15;9;False
2023-01-05;92;5;0;13;7;False
2023-01-06;90;9;0;15;7;False
2023-01-07;79;16;0;11;5;False
2023-01-08;84;9;0;3;8;False
2023-01-09;92;10;0;2;5;False
2023-01-10;88;59;0;2;8;False
2023-01-11;92;13;0;2;9;False
2023-01-12;94;9;0;1;7;False
2023-01-13;81;4;0;0;6;False
2023-01-14;85;15;0;0;5;False
2023-01-15;88;5;0;0;6;False
2023-01-16;96;6;0;0;7;False
2023-01-17;90;6;0;2;5;False
2023-01-18;99;7;0;1;8;False
2023-01-19;92;6;0;0;7;False
2023-01-20;87;4;0;1;6;False
2023-01-21;88;8;0;0;6;False
2023-01-22;83;5;0;0;7;False
2023-01-23;85;5;0;0;7;False
2023-01-24;91;5;0;2;5;False
2023-01-25;88;5;0;1;7;False
2023-01-26;86;4;0;1;7;False
2023-01-27;81;6;0;0;5;False
2023-01-28;77;17;0;1;6;False
2023-01-29;86;6;0;0;6;False
2023-01-30;95;6;0;0;10;False
2023-01-31;100;10;0;0;8;False
