date;David Bowie;Crocodiles;Charli XCX;Victorian politics;air travel;isPartial
2023-01-01;32;6;2;0;10;False
2023-01-02;30;5;0;0;12;False
2023-01-03;21;5;1;0;8;False
2023-01-04;17;5;3;1;12;False
2023-01-05;25;4;3;0;10;False
2023-01-06;100;8;0;0;10;False
2023-01-07;49;6;3;0;7;False
2023-01-08;74;9;2;0;11;False
2023-01-09;35;5;2;0;7;False
2023-01-10;50;3;3;0;11;False
2023-01-11;40;4;3;0;12;False
2023-01-12;28;5;3;0;10;False
2023-01-13;32;6;5;0;8;False
2023-01-14;39;7;4;0;7;False
2023-01-15;30;6;2;0;9;False
2023-01-16;26;5;4;0;9;False
2023-01-17;34;6;4;0;7;False
2023-01-18;18;4;4;0;11;False
2023-01-19;25;3;1;0;10;False
2023-01-20;26;8;6;1;8;False
2023-01-21;29;6;9;0;8;False
2023-01-22;32;5;9;0;9;False
2023-01-23;25;4;5;0;10;False
2023-01-24;21;7;3;0;7;False
2023-01-25;17;5;5;0;10;False
2023-01-26;23;4;2;0;9;False
2023-01-27;22;3;4;1;6;False
2023-01-28;23;4;1;0;9;False
2023-01-29;31;5;4;2;8;False
2023-01-30;23;5;3;0;13;False
2023-01-31;18;2;3;0;11;False
