date;brixton concert crush;Portugal;John Howard;Retirement planning;air travel;isPartial
2023-01-01;0;87;1;0;5;False
2023-01-02;0;90;1;1;6;False
2023-01-03;0;89;1;0;4;False
2023-01-04;0;84;2;0;6;False
2023-01-05;0;86;0;0;5;False
2023-01-06;0;84;1;0;5;False
2023-01-07;0;80;1;0;3;False
2023-01-08;0;100;1;0;5;False
2023-01-09;0;87;0;0;3;False
2023-01-10;0;85;1;1;5;False
2023-01-11;1;80;0;1;6;False
2023-01-12;0;92;1;0;5;False
2023-01-13;0;76;1;0;4;False
2023-01-14;0;89;0;1;4;False
2023-01-15;0;97;1;0;4;False
2023-01-16;0;78;0;0;4;False
2023-01-17;0;79;2;0;4;False
2023-01-18;0;77;0;0;5;False
2023-01-19;0;79;0;0;5;False
2023-01-20;0;70;1;1;4;False
2023-01-21;0;88;0;0;4;False
2023-01-22;0;97;0;0;4;False
2023-01-23;0;83;1;0;5;False
2023-01-24;0;80;0;1;4;False
2023-01-25;0;80;1;1;5;False
2023-01-26;0;75;1;0;4;False
2023-01-27;0;69;1;0;3;False
2023-01-28;0;73;0;1;4;False
2023-01-29;0;89;0;2;4;False
2023-01-30;0;84;1;0;6;False
2023-01-31;1;80;0;0;5;False
