date;somerset;PFA;Yayoi Kusama;Craft;air travel;isPartial
2023-01-01;52;0;1;59;4;False
2023-01-02;57;0;2;60;5;False
2023-01-03;55;1;2;56;3;False
2023-01-04;58;1;3;58;5;False
2023-01-05;54;1;1;53;4;False
2023-01-06;49;1;2;59;4;False
2023-01-07;46;0;2;56;3;False
2023-01-08;51;0;4;67;5;False
2023-01-09;48;2;2;52;3;False
2023-01-10;49;1;3;54;5;False
2023-01-11;50;2;3;50;5;False
2023-01-12;62;0;4;57;4;False
2023-01-13;48;1;4;53;3;False
2023-01-14;51;2;4;61;3;False
2023-01-15;48;1;3;64;4;False
2023-01-16;52;2;4;58;4;False
2023-01-17;100;1;4;56;3;False
2023-01-18;65;1;5;54;5;False
2023-01-19;51;2;4;57;4;False
2023-01-20;51;1;5;57;3;False
2023-01-21;49;0;6;61;4;False
2023-01-22;46;1;5;64;4;False
2023-01-23;52;1;5;55;4;False
2023-01-24;53;0;5;71;3;False
2023-01-25;49;2;3;58;4;False
2023-01-26;45;1;4;55;4;False
2023-01-27;46;1;3;56;3;False
2023-01-28;41;1;4;60;4;False
2023-01-29;48;1;5;65;4;False
2023-01-30;50;1;4;57;6;False
2023-01-31;55;1;3;55;5;False
