date;National parks;social care;The Banshees of Inisherin;Ski resorts;air travel;isPartial
2023-01-01;2;12;17;8;4;False
2023-01-02;2;17;12;10;5;False
2023-01-03;2;27;8;16;3;False
2023-01-04;1;31;7;16;5;False
2023-01-05;2;29;8;11;4;False
2023-01-06;2;28;10;11;4;False
2023-01-07;3;14;13;12;3;False
2023-01-08;3;23;10;11;5;False
2023-01-09;2;36;5;8;3;False
2023-01-10;2;35;6;9;5;False
2023-01-11;1;36;31;8;5;False
2023-01-12;1;37;18;5;4;False
2023-01-13;1;29;21;6;3;False
2023-01-14;100;15;21;6;3;False
2023-01-15;16;21;17;8;4;False
2023-01-16;6;34;8;6;4;False
2023-01-17;4;33;6;7;3;False
2023-01-18;3;35;3;6;5;False
2023-01-19;2;31;11;5;4;False
2023-01-20;3;30;10;5;3;False
2023-01-21;4;13;16;6;4;False
2023-01-22;4;18;12;8;4;False
2023-01-23;2;33;7;5;4;False
2023-01-24;3;37;21;7;3;False
2023-01-25;2;33;14;9;4;False
2023-01-26;3;37;9;7;4;False
2023-01-27;3;29;15;5;3;False
2023-01-28;2;15;20;5;4;False
2023-01-29;4;21;13;6;3;False
2023-01-30;3;38;7;5;6;False
2023-01-31;3;34;5;5;5;False
