date;Green politics;kamala harris;sir david amess;Paul Kelly;air travel;isPartial
2023-01-01;0;8;0;0;76;False
2023-01-02;0;0;0;5;90;False
2023-01-03;0;11;6;18;59;False
2023-01-04;0;11;10;7;89;False
2023-01-05;0;17;0;0;73;False
2023-01-06;0;35;9;9;73;False
2023-01-07;0;16;0;18;53;False
2023-01-08;8;23;0;7;84;False
2023-01-09;0;18;5;6;50;False
2023-01-10;6;10;6;20;79;False
2023-01-11;0;9;0;13;90;False
2023-01-12;0;17;0;0;75;False
2023-01-13;0;66;0;11;60;False
2023-01-14;0;48;0;0;56;False
2023-01-15;0;8;0;5;66;False
2023-01-16;0;20;7;12;68;False
2023-01-17;0;15;4;18;56;False
2023-01-18;0;16;0;30;80;False
2023-01-19;0;47;0;17;73;False
2023-01-20;0;8;11;6;59;False
2023-01-21;0;25;0;13;63;False
2023-01-22;0;27;0;6;70;False
2023-01-23;6;45;0;12;72;False
2023-01-24;0;7;8;0;55;False
2023-01-25;0;18;6;0;75;False
2023-01-26;0;8;0;0;68;False
2023-01-27;11;5;0;0;47;False
2023-01-28;0;11;0;0;66;False
2023-01-29;0;0;0;0;60;False
2023-01-30;0;24;0;6;100;False
2023-01-31;0;5;10;10;84;False
