date;United States holidays;Biden administration;World Rugby;black lives matter;air travel;isPartial
2023-01-01;0;0;49;3;21;False
2023-01-02;0;0;40;0;25;False
2023-01-03;0;0;45;3;16;False
2023-01-04;0;0;40;4;24;False
2023-01-05;0;0;37;5;20;False
2023-01-06;0;0;40;5;20;False
2023-01-07;2;0;34;5;15;False
2023-01-08;0;2;34;4;23;False
2023-01-09;0;0;38;3;14;False
2023-01-10;0;0;33;3;22;False
2023-01-11;0;0;36;4;24;False
2023-01-12;0;0;46;0;20;False
2023-01-13;0;0;38;5;16;False
2023-01-14;0;0;48;7;15;False
2023-01-15;0;0;37;0;18;False
2023-01-16;3;0;63;4;19;False
2023-01-17;4;0;45;7;15;False
2023-01-18;0;1;39;9;22;False
2023-01-19;0;0;36;3;20;False
2023-01-20;0;0;40;2;16;False
2023-01-21;0;0;52;2;17;False
2023-01-22;0;0;44;0;19;False
2023-01-23;0;0;41;4;20;False
2023-01-24;0;0;100;5;15;False
2023-01-25;0;0;60;7;21;False
2023-01-26;0;0;53;4;18;False
2023-01-27;0;2;47;4;13;False
2023-01-28;3;0;51;6;18;False
2023-01-29;0;0;40;3;16;False
2023-01-30;0;1;40;8;27;False
2023-01-31;0;1;44;0;23;False
