date;Argentina;andy murray;golden globes;Mark Butler;air travel;isPartial
2023-01-01;11;1;0;0;2;False
2023-01-02;10;1;0;0;2;False
2023-01-03;11;6;0;0;1;False
2023-01-04;9;5;0;0;2;False
2023-01-05;9;2;0;0;1;False
2023-01-06;9;1;1;0;1;False
2023-01-07;8;1;1;0;1;False
2023-01-08;9;1;1;0;2;False
2023-01-09;8;2;2;0;1;False
2023-01-10;8;1;7;0;2;False
2023-01-11;8;2;69;0;2;False
2023-01-12;8;2;21;0;1;False
2023-01-13;8;2;27;0;1;False
2023-01-14;8;2;10;0;1;False
2023-01-15;9;2;6;0;1;False
2023-01-16;6;5;5;0;1;False
2023-01-17;7;30;3;0;1;False
2023-01-18;7;12;2;0;2;False
2023-01-19;7;100;2;0;1;False
2023-01-20;7;34;1;0;1;False
2023-01-21;8;88;2;0;1;False
2023-01-22;8;13;1;0;1;False
2023-01-23;7;5;2;0;1;False
2023-01-24;9;3;2;0;1;False
2023-01-25;7;3;2;0;2;False
2023-01-26;7;4;1;0;1;False
2023-01-27;8;2;1;0;1;False
2023-01-28;7;2;0;0;1;False
2023-01-29;9;3;1;0;1;False
2023-01-30;6;2;1;0;2;False
2023-01-31;7;4;0;0;2;False
