date;Kanye West;Burnley;England women's cricket team;Belle and Sebastian;air travel;isPartial
2023-01-01;34;32;0;0;3;False
2023-01-02;30;66;0;0;3;False
2023-01-03;15;35;0;0;2;False
2023-01-04;12;29;0;0;3;False
2023-01-05;11;31;0;0;3;False
2023-01-06;14;30;0;0;3;False
2023-01-07;10;63;0;0;2;False
2023-01-08;11;33;0;0;3;False
2023-01-09;10;34;0;1;2;False
2023-01-10;9;32;0;0;3;False
2023-01-11;6;29;0;0;3;False
2023-01-12;6;30;0;0;3;False
2023-01-13;30;35;0;2;2;False
2023-01-14;23;67;0;0;2;False
2023-01-15;15;32;0;1;3;False
2023-01-16;12;39;0;1;3;False
2023-01-17;9;38;0;1;2;False
2023-01-18;10;40;0;0;3;False
2023-01-19;8;40;1;1;3;False
2023-01-20;9;100;0;0;2;False
2023-01-21;9;67;0;0;2;False
2023-01-22;7;43;0;1;3;False
2023-01-23;7;39;0;0;3;False
2023-01-24;7;37;0;1;2;False
2023-01-25;7;38;0;0;3;False
2023-01-26;7;36;0;0;3;False
2023-01-27;10;43;0;0;2;False
2023-01-28;10;67;0;0;3;False
2023-01-29;10;39;0;0;2;False
2023-01-30;7;36;1;0;4;False
2023-01-31;7;37;0;0;3;False
