date;Wolverhampton Wanderers;Rail fares;Sharks;Birdwatching;air travel;isPartial
2023-01-01;10;3;53;2;14;False
2023-01-02;10;1;39;2;17;False
2023-01-03;7;2;33;4;11;False
2023-01-04;24;1;32;3;17;False
2023-01-05;7;0;36;2;14;False
2023-01-06;12;4;43;0;14;False
2023-01-07;33;2;52;1;10;False
2023-01-08;11;1;58;0;16;False
2023-01-09;8;0;35;2;9;False
2023-01-10;10;1;34;2;15;False
2023-01-11;30;0;34;2;17;False
2023-01-12;11;3;35;2;14;False
2023-01-13;14;1;36;0;11;False
2023-01-14;24;0;70;0;10;False
2023-01-15;9;0;39;1;12;False
2023-01-16;10;0;32;0;13;False
2023-01-17;35;3;30;2;10;False
2023-01-18;10;2;29;1;15;False
2023-01-19;5;2;32;0;14;False
2023-01-20;7;2;44;3;11;False
2023-01-21;7;1;100;0;12;False
2023-01-22;27;0;51;0;13;False
2023-01-23;5;3;37;0;13;False
2023-01-24;11;0;31;0;10;False
2023-01-25;13;0;32;0;14;False
2023-01-26;11;1;42;2;13;False
2023-01-27;9;0;54;4;9;False
2023-01-28;11;1;57;2;12;False
2023-01-29;7;1;48;4;11;False
2023-01-30;7;0;37;2;19;False
2023-01-31;6;2;34;0;16;False
