date;The Times;france;University of Nottingham;MI5;air travel;isPartial
2023-01-01;74;96;1;4;3;False
2023-01-02;62;99;1;5;3;False
2023-01-03;39;91;2;4;2;False
2023-01-04;39;90;3;3;3;False
2023-01-05;39;86;2;4;3;False
2023-01-06;40;88;3;3;3;False
2023-01-07;45;87;1;3;2;False
2023-01-08;47;95;2;3;3;False
2023-01-09;39;87;3;3;2;False
2023-01-10;42;84;4;3;3;False
2023-01-11;43;86;3;3;3;False
2023-01-12;40;90;2;2;3;False
2023-01-13;40;83;3;3;2;False
2023-01-14;46;88;1;2;2;False
2023-01-15;48;100;2;2;2;False
2023-01-16;43;84;3;2;2;False
2023-01-17;38;83;3;2;2;False
2023-01-18;38;85;3;3;3;False
2023-01-19;38;89;3;2;3;False
2023-01-20;40;86;3;3;2;False
2023-01-21;49;91;1;3;2;False
2023-01-22;48;99;2;2;3;False
2023-01-23;38;91;3;3;3;False
2023-01-24;38;87;4;2;2;False
2023-01-25;39;84;3;2;3;False
2023-01-26;38;78;4;2;2;False
2023-01-27;41;85;3;3;2;False
2023-01-28;39;75;1;2;2;False
2023-01-29;42;93;2;2;2;False
2023-01-30;45;83;4;2;4;False
2023-01-31;41;87;4;2;3;False
