date;wuhan;Defamation law;Brooklyn;Depression;air travel;isPartial
2023-01-01;4;0;57;77;10;False
2023-01-02;7;1;55;81;12;False
2023-01-03;2;1;57;81;8;False
2023-01-04;8;1;46;91;12;False
2023-01-05;5;0;49;82;10;False
2023-01-06;3;0;60;77;10;False
2023-01-07;3;0;64;71;7;False
2023-01-08;1;1;63;93;11;False
2023-01-09;2;0;57;91;7;False
2023-01-10;1;0;50;91;10;False
2023-01-11;1;1;48;87;12;False
2023-01-12;2;1;44;97;10;False
2023-01-13;2;0;44;76;8;False
2023-01-14;1;1;49;74;7;False
2023-01-15;0;0;57;86;9;False
2023-01-16;3;2;40;100;9;False
2023-01-17;1;0;45;91;7;False
2023-01-18;2;1;44;86;11;False
2023-01-19;0;0;46;86;10;False
2023-01-20;1;0;58;79;8;False
2023-01-21;0;0;61;75;8;False
2023-01-22;0;0;58;91;9;False
2023-01-23;3;1;50;87;10;False
2023-01-24;2;1;43;89;7;False
2023-01-25;1;0;39;86;10;False
2023-01-26;1;0;48;93;9;False
2023-01-27;0;1;46;84;6;False
2023-01-28;2;0;51;75;9;False
2023-01-29;1;0;57;77;8;False
2023-01-30;1;0;43;88;13;False
2023-01-31;2;1;44;94;11;False
