date;madonna;Australian foreign policy;Rina Sawayama;Horror (TV);air travel;isPartial
2023-01-01;16;0;0;1;3;False
2023-01-02;10;0;1;0;3;False
2023-01-03;8;0;1;0;2;False
2023-01-04;8;0;0;0;3;False
2023-01-05;13;0;0;1;3;False
2023-01-06;10;0;0;0;3;False
2023-01-07;12;0;0;1;2;False
2023-01-08;11;0;0;1;3;False
2023-01-09;7;0;1;0;2;False
2023-01-10;9;0;0;0;3;False
2023-01-11;9;0;0;1;3;False
2023-01-12;13;0;1;1;3;False
2023-01-13;11;0;2;0;2;False
2023-01-14;12;0;0;1;2;False
2023-01-15;11;0;1;0;2;False
2023-01-16;11;0;1;0;3;False
2023-01-17;76;0;0;0;2;False
2023-01-18;66;0;0;1;3;False
2023-01-19;52;0;1;0;3;False
2023-01-20;100;0;0;0;2;False
2023-01-21;44;0;0;1;2;False
2023-01-22;24;0;0;1;3;False
2023-01-23;18;0;0;1;3;False
2023-01-24;13;0;0;0;2;False
2023-01-25;15;0;0;0;3;False
2023-01-26;16;0;0;0;2;False
2023-01-27;22;0;0;0;2;False
2023-01-28;18;0;1;1;2;False
2023-01-29;14;0;0;0;2;False
2023-01-30;12;0;0;0;4;False
2023-01-31;12;0;1;0;3;False
