date;oceans;Europe holidays;Indigenous recognition;Sixth form;air travel;isPartial
2023-01-01;45;34;0;46;18;False
2023-01-02;34;36;0;82;21;False
2023-01-03;22;39;0;80;13;False
2023-01-04;27;26;0;87;20;False
2023-01-05;20;24;0;87;17;False
2023-01-06;29;24;0;84;17;False
2023-01-07;23;36;0;56;12;False
2023-01-08;19;36;0;70;19;False
2023-01-09;20;28;0;100;11;False
2023-01-10;25;22;0;82;18;False
2023-01-11;21;30;0;92;21;False
2023-01-12;24;25;0;89;17;False
2023-01-13;22;20;0;75;14;False
2023-01-14;17;26;0;49;13;False
2023-01-15;24;42;0;60;15;False
2023-01-16;22;32;0;80;16;False
2023-01-17;31;22;0;81;13;False
2023-01-18;31;20;0;88;18;False
2023-01-19;23;17;0;85;17;False
2023-01-20;25;25;0;76;14;False
2023-01-21;27;23;0;55;14;False
2023-01-22;24;30;0;51;16;False
2023-01-23;26;25;0;87;17;False
2023-01-24;23;23;0;87;13;False
2023-01-25;26;16;0;81;17;False
2023-01-26;23;21;0;71;16;False
2023-01-27;26;20;0;70;11;False
2023-01-28;21;21;0;51;15;False
2023-01-29;27;30;0;57;14;False
2023-01-30;26;24;0;76;23;False
2023-01-31;23;22;0;82;19;False
