date;Resident Evil;Mathematics;Maria Grazia Chiuri;World Athletics;air travel;isPartial
2023-01-01;100;22;0;0;21;False
2023-01-02;95;29;0;3;25;False
2023-01-03;76;27;0;4;16;False
2023-01-04;60;35;0;2;24;False
2023-01-05;68;32;2;1;20;False
2023-01-06;63;38;2;0;20;False
2023-01-07;64;27;2;2;14;False
2023-01-08;88;30;0;3;23;False
2023-01-09;54;38;0;4;14;False
2023-01-10;66;35;0;0;21;False
2023-01-11;58;36;2;3;24;False
2023-01-12;62;34;0;2;20;False
2023-01-13;56;30;0;0;16;False
2023-01-14;66;28;0;3;15;False
2023-01-15;72;28;1;7;18;False
2023-01-16;51;36;0;0;19;False
2023-01-17;61;37;0;2;15;False
2023-01-18;56;34;0;0;22;False
2023-01-19;51;37;0;3;20;False
2023-01-20;59;36;0;2;16;False
2023-01-21;74;29;0;3;17;False
2023-01-22;71;28;0;0;19;False
2023-01-23;62;33;0;3;20;False
2023-01-24;64;39;0;7;15;False
2023-01-25;69;40;2;5;20;False
2023-01-26;48;33;0;3;18;False
2023-01-27;66;24;0;6;13;False
2023-01-28;58;27;0;6;18;False
2023-01-29;69;28;0;6;16;False
2023-01-30;54;40;0;0;27;False
2023-01-31;58;57;0;2;23;False
