date;Stephen Colbert;Vanuatu;Jack Dee;caribbean;air travel;isPartial
2023-01-01;1;2;1;100;7;False
2023-01-02;2;1;0;96;9;False
2023-01-03;0;1;1;74;6;False
2023-01-04;2;1;0;74;9;False
2023-01-05;1;1;1;84;7;False
2023-01-06;0;2;5;84;7;False
2023-01-07;0;2;2;89;5;False
2023-01-08;2;5;1;93;8;False
2023-01-09;1;18;0;66;5;False
2023-01-10;5;5;1;70;8;False
2023-01-11;14;2;0;65;9;False
2023-01-12;6;1;1;78;7;False
2023-01-13;3;1;3;74;6;False
2023-01-14;7;1;0;86;5;False
2023-01-15;2;3;2;93;6;False
2023-01-16;2;1;2;66;7;False
2023-01-17;4;1;0;72;5;False
2023-01-18;1;1;0;60;8;False
2023-01-19;1;2;1;61;7;False
2023-01-20;1;1;2;69;6;False
2023-01-21;1;1;0;83;6;False
2023-01-22;2;1;1;78;7;False
2023-01-23;1;2;2;65;7;False
2023-01-24;1;1;1;62;5;False
2023-01-25;1;1;1;66;7;False
2023-01-26;0;1;0;57;7;False
2023-01-27;1;1;1;67;5;False
2023-01-28;0;1;1;81;6;False
2023-01-29;0;1;2;88;6;False
2023-01-30;0;1;1;65;10;False
2023-01-31;2;1;0;68;8;False
