date;Nadine Dorries;mexico;tackling racism;National lottery;air travel;isPartial
2023-01-01;0;32;1;93;3;False
2023-01-02;0;33;0;51;3;False
2023-01-03;0;33;0;51;2;False
2023-01-04;2;30;0;66;3;False
2023-01-05;2;30;0;52;2;False
2023-01-06;0;47;0;60;2;False
2023-01-07;0;34;0;82;2;False
2023-01-08;1;42;0;59;3;False
2023-01-09;1;33;0;35;2;False
2023-01-10;1;39;0;55;3;False
2023-01-11;0;32;0;65;3;False
2023-01-12;0;31;0;57;2;False
2023-01-13;0;32;0;63;2;False
2023-01-14;0;33;0;91;2;False
2023-01-15;0;37;0;59;2;False
2023-01-16;0;33;0;32;2;False
2023-01-17;1;30;0;46;2;False
2023-01-18;0;31;0;64;3;False
2023-01-19;0;29;0;52;2;False
2023-01-20;0;30;0;61;2;False
2023-01-21;0;31;0;94;2;False
2023-01-22;0;33;0;63;2;False
2023-01-23;1;30;0;41;2;False
2023-01-24;0;29;0;56;2;False
2023-01-25;0;27;0;72;2;False
2023-01-26;0;25;0;61;2;False
2023-01-27;2;26;0;63;2;False
2023-01-28;6;27;0;100;2;False
2023-01-29;3;31;0;70;2;False
2023-01-30;0;26;0;40;3;False
2023-01-31;1;26;0;60;3;False
