date;Wilko;Avengers: Endgame;Teachers' workload;Fulham;air travel;isPartial
2023-01-01;23;1;0;10;1;False
2023-01-02;30;1;0;10;1;False
2023-01-03;21;0;0;25;1;False
2023-01-04;20;0;0;11;1;False
2023-01-05;21;0;0;9;1;False
2023-01-06;20;0;0;10;1;False
2023-01-07;23;0;0;15;1;False
2023-01-08;24;0;0;9;1;False
2023-01-09;19;0;0;9;1;False
2023-01-10;21;0;0;9;1;False
2023-01-11;18;0;0;10;1;False
2023-01-12;19;0;0;100;1;False
2023-01-13;20;0;0;28;1;False
2023-01-14;23;0;0;12;1;False
2023-01-15;25;0;0;50;1;False
2023-01-16;19;0;0;11;1;False
2023-01-17;18;0;0;9;1;False
2023-01-18;17;0;0;9;1;False
2023-01-19;16;0;0;8;1;False
2023-01-20;19;0;0;9;1;False
2023-01-21;23;0;0;11;1;False
2023-01-22;21;0;0;10;1;False
2023-01-23;20;0;0;82;1;False
2023-01-24;17;1;0;22;1;False
2023-01-25;17;0;0;9;1;False
2023-01-26;18;0;0;9;1;False
2023-01-27;19;1;0;10;1;False
2023-01-28;24;0;0;32;1;False
2023-01-29;23;1;0;12;1;False
2023-01-30;19;0;0;11;2;False
2023-01-31;18;0;0;13;1;False
