date;Environmental activism;Robert Capa;Schools;Royal Academy of Music;air travel;isPartial
2023-01-01;0;0;35;0;3;False
2023-01-02;0;0;60;0;3;False
2023-01-03;0;0;74;0;2;False
2023-01-04;0;0;69;0;3;False
2023-01-05;0;0;62;0;3;False
2023-01-06;0;0;61;0;3;False
2023-01-07;0;0;38;0;2;False
2023-01-08;0;0;52;0;3;False
2023-01-09;0;0;68;0;2;False
2023-01-10;0;0;70;0;3;False
2023-01-11;0;0;64;0;3;False
2023-01-12;0;0;65;1;3;False
2023-01-13;0;0;57;1;2;False
2023-01-14;0;0;40;0;2;False
2023-01-15;0;0;43;0;2;False
2023-01-16;0;0;73;0;3;False
2023-01-17;0;0;78;1;2;False
2023-01-18;0;0;79;1;3;False
2023-01-19;0;0;72;0;3;False
2023-01-20;0;0;61;0;2;False
2023-01-21;0;0;42;0;2;False
2023-01-22;0;0;49;1;3;False
2023-01-23;0;0;69;0;3;False
2023-01-24;0;0;73;1;2;False
2023-01-25;0;0;69;0;3;False
2023-01-26;0;0;67;0;3;False
2023-01-27;0;0;63;0;2;False
2023-01-28;0;0;44;0;2;False
2023-01-29;0;0;54;0;2;False
2023-01-30;0;0;81;1;4;False
2023-01-31;1;0;100;0;3;False
