date;US politics;Vietnam war;Australian Capital Territory;Richard Curtis;air travel;isPartial
2023-01-01;0;59;0;25;76;False
2023-01-02;15;58;0;22;90;False
2023-01-03;7;41;11;7;59;False
2023-01-04;9;44;0;8;89;False
2023-01-05;17;51;0;8;73;False
2023-01-06;15;72;0;11;73;False
2023-01-07;14;56;0;9;53;False
2023-01-08;14;59;0;0;84;False
2023-01-09;17;73;0;0;50;False
2023-01-10;30;47;0;11;79;False
2023-01-11;25;41;0;10;90;False
2023-01-12;9;88;0;15;75;False
2023-01-13;14;51;5;0;60;False
2023-01-14;5;33;0;0;56;False
2023-01-15;15;77;0;0;66;False
2023-01-16;16;48;0;8;68;False
2023-01-17;11;70;0;9;56;False
2023-01-18;17;60;5;7;80;False
2023-01-19;0;62;0;7;73;False
2023-01-20;0;65;0;16;59;False
2023-01-21;0;51;0;8;63;False
2023-01-22;5;69;0;8;70;False
2023-01-23;0;77;0;7;72;False
2023-01-24;13;59;0;10;55;False
2023-01-25;8;70;16;9;75;False
2023-01-26;10;74;0;14;68;False
2023-01-27;14;53;0;7;47;False
2023-01-28;8;65;0;11;66;False
2023-01-29;13;78;0;0;60;False
2023-01-30;19;69;0;5;100;False
2023-01-31;10;89;0;12;84;False
