date;prince william;Jennifer Lopez;Trinidad and Tobago;Cheltenham;air travel;isPartial
2023-01-01;9;7;1;100;4;False
2023-01-02;11;4;0;70;5;False
2023-01-03;8;4;1;70;3;False
2023-01-04;8;4;0;60;5;False
2023-01-05;42;3;1;63;4;False
2023-01-06;39;3;1;61;4;False
2023-01-07;31;3;1;67;3;False
2023-01-08;41;10;2;61;4;False
2023-01-09;29;4;2;64;3;False
2023-01-10;27;3;1;66;4;False
2023-01-11;23;4;1;64;5;False
2023-01-12;21;5;1;71;4;False
2023-01-13;14;5;0;64;3;False
2023-01-14;14;5;1;80;3;False
2023-01-15;12;4;1;60;3;False
2023-01-16;11;3;1;71;4;False
2023-01-17;9;3;1;67;3;False
2023-01-18;7;3;1;65;4;False
2023-01-19;7;4;1;64;4;False
2023-01-20;7;6;1;66;3;False
2023-01-21;7;7;2;79;3;False
2023-01-22;8;5;1;62;4;False
2023-01-23;6;6;2;67;4;False
2023-01-24;7;5;1;74;3;False
2023-01-25;5;4;1;64;4;False
2023-01-26;6;3;2;64;4;False
2023-01-27;5;16;1;74;2;False
2023-01-28;6;28;2;100;3;False
2023-01-29;6;21;1;59;3;False
2023-01-30;5;9;2;59;5;False
2023-01-31;6;8;1;61;4;False
