date;Andrew Bailey;grenfell;Johnny Vegas;Animals;air travel;isPartial
2023-01-01;0;2;3;58;4;False
2023-01-02;0;2;2;56;5;False
2023-01-03;0;2;1;55;3;False
2023-01-04;0;2;1;57;5;False
2023-01-05;0;2;1;57;4;False
2023-01-06;0;2;1;56;4;False
2023-01-07;0;1;1;55;3;False
2023-01-08;0;2;1;62;4;False
2023-01-09;0;2;1;55;3;False
2023-01-10;1;3;0;62;4;False
2023-01-11;0;2;12;66;5;False
2023-01-12;0;5;6;69;4;False
2023-01-13;0;24;3;62;3;False
2023-01-14;0;19;2;54;3;False
2023-01-15;0;11;2;68;3;False
2023-01-16;1;3;2;65;4;False
2023-01-17;0;4;2;70;3;False
2023-01-18;0;3;1;67;4;False
2023-01-19;1;1;1;69;4;False
2023-01-20;0;3;2;84;3;False
2023-01-21;0;2;2;75;3;False
2023-01-22;0;2;1;100;4;False
2023-01-23;0;1;1;81;4;False
2023-01-24;0;3;2;76;3;False
2023-01-25;0;2;0;73;4;False
2023-01-26;0;2;1;65;3;False
2023-01-27;0;2;1;63;2;False
2023-01-28;0;1;1;57;3;False
2023-01-29;0;10;1;68;3;False
2023-01-30;0;3;0;70;5;False
2023-01-31;0;4;1;60;4;False
