date;Mastodon;dave;X-Men;Primark;air travel;isPartial
2023-01-01;2;35;1;64;2;False
2023-01-02;1;36;1;60;2;False
2023-01-03;0;24;1;37;1;False
2023-01-04;1;33;1;34;2;False
2023-01-05;1;32;1;33;2;False
2023-01-06;0;33;1;36;2;False
2023-01-07;1;26;1;44;1;False
2023-01-08;1;23;1;44;2;False
2023-01-09;1;45;0;34;1;False
2023-01-10;1;34;1;33;2;False
2023-01-11;0;32;1;31;2;False
2023-01-12;1;28;1;36;2;False
2023-01-13;1;36;1;38;1;False
2023-01-14;1;24;1;46;1;False
2023-01-15;0;26;1;50;2;False
2023-01-16;1;48;1;37;2;False
2023-01-17;1;53;0;36;1;False
2023-01-18;1;50;0;35;2;False
2023-01-19;1;49;1;37;2;False
2023-01-20;1;72;0;38;1;False
2023-01-21;0;100;1;55;2;False
2023-01-22;1;72;0;59;2;False
2023-01-23;1;49;1;43;2;False
2023-01-24;1;41;0;37;1;False
2023-01-25;1;37;0;37;2;False
2023-01-26;1;35;1;37;2;False
2023-01-27;1;44;0;41;1;False
2023-01-28;1;53;1;52;2;False
2023-01-29;1;46;2;51;1;False
2023-01-30;0;30;1;40;2;False
2023-01-31;1;30;1;38;2;False
