date;Cats;Australian economy;haiti;John Steinbeck;air travel;isPartial
2023-01-01;97;0;2;0;3;False
2023-01-02;98;1;2;0;4;False
2023-01-03;89;1;2;0;3;False
2023-01-04;86;0;2;0;4;False
2023-01-05;84;0;2;1;3;False
2023-01-06;91;0;1;0;3;False
2023-01-07;92;0;2;0;2;False
2023-01-08;97;0;2;1;4;False
2023-01-09;82;0;2;0;2;False
2023-01-10;81;0;2;1;3;False
2023-01-11;80;0;2;0;4;False
2023-01-12;81;0;3;0;3;False
2023-01-13;85;0;1;0;3;False
2023-01-14;98;0;3;0;2;False
2023-01-15;98;0;4;0;3;False
2023-01-16;84;0;2;0;3;False
2023-01-17;81;1;3;0;2;False
2023-01-18;78;0;3;0;4;False
2023-01-19;83;1;2;0;3;False
2023-01-20;88;0;3;0;3;False
2023-01-21;100;0;4;0;3;False
2023-01-22;89;0;3;0;3;False
2023-01-23;87;1;3;0;3;False
2023-01-24;82;0;3;0;2;False
2023-01-25;82;0;2;0;3;False
2023-01-26;83;0;2;0;3;False
2023-01-27;84;0;3;0;2;False
2023-01-28;91;0;2;0;3;False
2023-01-29;90;0;3;0;3;False
2023-01-30;84;1;3;0;4;False
2023-01-31;83;0;5;0;4;False
