date;Michael Douglas;Montana;boris johnson;Rihanna;air travel;isPartial
2023-01-01;15;56;33;48;17;False
2023-01-02;11;65;25;34;20;False
2023-01-03;13;45;23;36;13;False
2023-01-04;8;40;23;36;20;False
2023-01-05;15;43;28;38;16;False
2023-01-06;16;55;24;39;16;False
2023-01-07;24;51;25;42;12;False
2023-01-08;16;51;34;43;19;False
2023-01-09;10;38;26;41;11;False
2023-01-10;13;40;41;36;17;False
2023-01-11;12;47;63;45;20;False
2023-01-12;8;36;68;38;16;False
2023-01-13;12;44;68;59;13;False
2023-01-14;31;49;28;60;12;False
2023-01-15;48;54;41;49;15;False
2023-01-16;22;44;38;38;15;False
2023-01-17;19;42;41;34;12;False
2023-01-18;16;40;28;31;18;False
2023-01-19;15;41;27;31;16;False
2023-01-20;16;49;29;35;13;False
2023-01-21;22;52;23;47;14;False
2023-01-22;22;60;100;42;15;False
2023-01-23;10;46;84;37;16;False
2023-01-24;14;40;59;43;12;False
2023-01-25;26;43;50;41;17;False
2023-01-26;15;33;37;37;15;False
2023-01-27;16;45;36;42;10;False
2023-01-28;13;46;70;40;15;False
2023-01-29;16;58;56;44;13;False
2023-01-30;6;38;72;36;22;False
2023-01-31;4;40;42;35;19;False
