date;Teacher Network;University of Worcester;School meals;Uganda;air travel;isPartial
2023-01-01;0;2;15;63;33;False
2023-01-02;0;0;21;75;39;False
2023-01-03;8;6;42;44;25;False
2023-01-04;0;8;38;69;38;False
2023-01-05;0;3;41;68;31;False
2023-01-06;0;7;30;65;32;False
2023-01-07;4;6;17;55;23;False
2023-01-08;0;10;38;70;36;False
2023-01-09;0;10;59;61;21;False
2023-01-10;0;11;57;67;34;False
2023-01-11;0;8;48;70;39;False
2023-01-12;0;8;54;69;32;False
2023-01-13;0;8;44;64;26;False
2023-01-14;0;0;21;72;24;False
2023-01-15;0;4;38;69;29;False
2023-01-16;0;8;50;69;29;False
2023-01-17;0;7;60;67;24;False
2023-01-18;3;6;52;100;35;False
2023-01-19;0;4;44;68;31;False
2023-01-20;0;3;31;83;25;False
2023-01-21;0;6;12;74;27;False
2023-01-22;3;12;27;70;30;False
2023-01-23;7;8;53;60;31;False
2023-01-24;0;8;57;68;24;False
2023-01-25;0;9;47;57;32;False
2023-01-26;2;7;30;57;29;False
2023-01-27;0;12;33;56;20;False
2023-01-28;0;7;10;42;28;False
2023-01-29;2;2;49;61;26;False
2023-01-30;0;10;63;63;43;False
2023-01-31;0;13;55;58;36;False
