date;Ballet;Gavin Williamson;Saracens;ExxonMobil;air travel;isPartial
2023-01-01;82;0;17;0;12;False
2023-01-02;74;0;17;1;14;False
2023-01-03;69;2;8;2;9;False
2023-01-04;74;3;12;1;14;False
2023-01-05;61;1;8;2;11;False
2023-01-06;67;0;48;2;12;False
2023-01-07;85;1;30;0;8;False
2023-01-08;82;0;15;3;13;False
2023-01-09;62;0;15;2;8;False
2023-01-10;61;0;11;0;12;False
2023-01-11;68;0;13;0;14;False
2023-01-12;67;0;14;4;12;False
2023-01-13;66;0;15;3;9;False
2023-01-14;94;0;44;0;9;False
2023-01-15;77;0;18;1;10;False
2023-01-16;64;6;11;1;11;False
2023-01-17;60;0;12;2;9;False
2023-01-18;68;0;7;2;13;False
2023-01-19;78;1;10;2;11;False
2023-01-20;77;1;9;1;9;False
2023-01-21;94;0;21;0;10;False
2023-01-22;83;2;59;0;11;False
2023-01-23;74;0;20;3;11;False
2023-01-24;64;1;12;0;9;False
2023-01-25;70;0;9;4;12;False
2023-01-26;60;4;11;4;11;False
2023-01-27;57;0;14;2;7;False
2023-01-28;76;1;49;1;10;False
2023-01-29;100;3;17;0;9;False
2023-01-30;67;3;18;2;16;False
2023-01-31;63;2;7;1;13;False
