date;coachella;Japan;Yale University;Lachlan Murdoch;air travel;isPartial
2023-01-01;2;93;1;0;6;False
2023-01-02;1;91;1;0;7;False
2023-01-03;1;93;1;0;4;False
2023-01-04;1;91;3;0;7;False
2023-01-05;3;80;0;1;5;False
2023-01-06;3;81;1;0;5;False
2023-01-07;3;73;1;0;4;False
2023-01-08;2;87;2;0;6;False
2023-01-09;2;89;1;0;4;False
2023-01-10;14;80;0;0;6;False
2023-01-11;20;81;1;0;7;False
2023-01-12;8;82;0;0;6;False
2023-01-13;4;79;1;0;4;False
2023-01-14;4;80;1;0;4;False
2023-01-15;4;85;1;0;5;False
2023-01-16;2;79;1;1;5;False
2023-01-17;2;76;1;0;4;False
2023-01-18;3;79;2;0;6;False
2023-01-19;2;88;1;0;5;False
2023-01-20;2;81;1;0;4;False
2023-01-21;3;86;0;0;5;False
2023-01-22;3;100;0;0;5;False
2023-01-23;2;84;0;0;5;False
2023-01-24;2;96;1;0;4;False
2023-01-25;2;81;0;0;6;False
2023-01-26;3;75;1;0;5;False
2023-01-27;2;79;1;0;4;False
2023-01-28;2;68;0;0;5;False
2023-01-29;2;86;0;1;4;False
2023-01-30;1;86;0;0;7;False
2023-01-31;1;79;1;0;6;False
