date;world darts championship;lionel messi;Ethiopia;Romeo and Juliet;air travel;isPartial
2023-01-01;77;7;6;9;5;False
2023-01-02;79;6;7;42;6;False
2023-01-03;100;8;7;10;4;False
2023-01-04;33;7;7;81;6;False
2023-01-05;9;4;6;23;5;False
2023-01-06;5;7;6;17;5;False
2023-01-07;4;5;7;20;4;False
2023-01-08;3;7;6;15;6;False
2023-01-09;1;5;4;13;3;False
2023-01-10;2;5;6;11;5;False
2023-01-11;1;9;5;10;6;False
2023-01-12;2;7;9;12;5;False
2023-01-13;3;4;6;10;4;False
2023-01-14;2;5;5;9;4;False
2023-01-15;2;4;7;10;4;False
2023-01-16;1;3;5;11;4;False
2023-01-17;1;3;10;9;4;False
2023-01-18;1;4;6;11;5;False
2023-01-19;1;5;8;12;5;False
2023-01-20;0;4;5;11;4;False
2023-01-21;2;8;7;8;4;False
2023-01-22;1;5;8;14;5;False
2023-01-23;1;5;7;13;5;False
2023-01-24;1;9;5;12;4;False
2023-01-25;1;4;5;12;5;False
2023-01-26;1;8;6;11;4;False
2023-01-27;2;12;6;12;3;False
2023-01-28;2;4;6;6;4;False
2023-01-29;2;5;6;8;4;False
2023-01-30;1;4;7;10;7;False
2023-01-31;1;7;6;12;6;False
