date;insulate britain;ghislaine maxwell;nicola sturgeon;newcastle united;air travel;isPartial
2023-01-01;0;1;1;21;2;False
2023-01-02;0;1;1;18;2;False
2023-01-03;0;0;1;51;1;False
2023-01-04;0;0;3;23;2;False
2023-01-05;0;0;1;17;2;False
2023-01-06;0;0;1;17;2;False
2023-01-07;0;0;2;47;1;False
2023-01-08;0;1;1;19;2;False
2023-01-09;0;1;2;15;1;False
2023-01-10;0;1;2;56;2;False
2023-01-11;0;0;3;27;2;False
2023-01-12;0;0;2;19;2;False
2023-01-13;0;1;3;17;1;False
2023-01-14;0;1;3;24;1;False
2023-01-15;0;0;1;59;2;False
2023-01-16;0;0;3;20;2;False
2023-01-17;0;1;4;18;1;False
2023-01-18;0;1;2;17;2;False
2023-01-19;0;0;2;19;2;False
2023-01-20;0;1;2;19;1;False
2023-01-21;0;1;3;54;1;False
2023-01-22;0;3;5;23;2;False
2023-01-23;0;8;2;20;2;False
2023-01-24;0;5;3;63;1;False
2023-01-25;0;1;2;33;2;False
2023-01-26;0;2;2;19;2;False
2023-01-27;0;1;3;22;1;False
2023-01-28;0;1;2;23;2;False
2023-01-29;0;1;3;24;1;False
2023-01-30;0;1;4;23;2;False
2023-01-31;0;1;7;100;2;False
