date;Steven Soderbergh;Diwali;Wasps;norway;air travel;isPartial
2023-01-01;0;9;10;91;10;False
2023-01-02;0;8;5;79;12;False
2023-01-03;0;5;7;79;8;False
2023-01-04;0;8;6;67;11;False
2023-01-05;1;5;8;64;9;False
2023-01-06;1;6;5;67;9;False
2023-01-07;0;5;7;70;7;False
2023-01-08;0;8;7;84;11;False
2023-01-09;0;6;6;64;6;False
2023-01-10;0;9;4;67;10;False
2023-01-11;3;6;4;66;12;False
2023-01-12;2;5;7;71;10;False
2023-01-13;0;6;6;65;8;False
2023-01-14;0;6;9;81;7;False
2023-01-15;0;7;7;100;9;False
2023-01-16;0;6;4;77;9;False
2023-01-17;0;4;8;61;7;False
2023-01-18;0;7;6;67;10;False
2023-01-19;0;3;6;61;9;False
2023-01-20;0;4;7;71;8;False
2023-01-21;1;9;7;82;8;False
2023-01-22;0;6;10;77;9;False
2023-01-23;3;6;7;69;9;False
2023-01-24;0;5;4;69;7;False
2023-01-25;1;4;6;74;10;False
2023-01-26;0;6;6;68;9;False
2023-01-27;0;4;4;65;6;False
2023-01-28;1;3;10;69;8;False
2023-01-29;1;5;9;81;8;False
2023-01-30;1;5;5;71;13;False
2023-01-31;0;4;7;65;11;False
