date;cia;Music documentary;Nintendo;Graphic design;air travel;isPartial
2023-01-01;4;0;100;2;3;False
2023-01-02;5;0;87;4;4;False
2023-01-03;3;0;66;5;2;False
2023-01-04;3;0;56;5;4;False
2023-01-05;4;0;53;6;3;False
2023-01-06;4;0;58;3;3;False
2023-01-07;4;0;67;5;2;False
2023-01-08;3;0;75;4;3;False
2023-01-09;3;0;43;6;2;False
2023-01-10;4;0;41;5;3;False
2023-01-11;4;0;36;5;4;False
2023-01-12;4;0;38;6;3;False
2023-01-13;3;0;45;3;2;False
2023-01-14;4;0;61;3;2;False
2023-01-15;4;0;60;3;3;False
2023-01-16;4;0;40;6;3;False
2023-01-17;3;0;36;6;2;False
2023-01-18;3;0;36;4;3;False
2023-01-19;4;0;35;5;3;False
2023-01-20;4;0;41;5;2;False
2023-01-21;4;0;61;4;3;False
2023-01-22;4;0;59;4;3;False
2023-01-23;4;1;40;4;3;False
2023-01-24;4;1;37;5;2;False
2023-01-25;4;0;37;5;3;False
2023-01-26;4;0;35;5;3;False
2023-01-27;4;0;49;5;2;False
2023-01-28;3;0;63;4;3;False
2023-01-29;3;1;60;4;2;False
2023-01-30;3;0;42;5;4;False
2023-01-31;4;0;36;6;3;False
