date;Recep Tayyip Erdoğan;Immersive theatre;Tripadvisor;Miami Dolphins;air travel;isPartial
2023-01-01;0;0;76;11;6;False
2023-01-02;0;2;93;4;7;False
2023-01-03;0;0;77;3;5;False
2023-01-04;0;0;77;1;7;False
2023-01-05;0;1;70;2;6;False
2023-01-06;0;1;74;1;6;False
2023-01-07;0;0;76;3;4;False
2023-01-08;1;1;85;12;7;False
2023-01-09;0;0;81;4;4;False
2023-01-10;0;0;73;3;6;False
2023-01-11;0;0;66;3;7;False
2023-01-12;0;0;72;1;6;False
2023-01-13;1;0;70;3;5;False
2023-01-14;0;0;80;2;4;False
2023-01-15;0;0;100;22;5;False
2023-01-16;0;0;74;5;5;False
2023-01-17;0;1;71;3;4;False
2023-01-18;0;0;65;1;6;False
2023-01-19;0;0;64;1;6;False
2023-01-20;0;0;66;0;5;False
2023-01-21;0;1;83;2;5;False
2023-01-22;0;1;84;2;5;False
2023-01-23;0;0;74;1;6;False
2023-01-24;0;0;74;2;4;False
2023-01-25;0;1;68;1;6;False
2023-01-26;0;0;60;2;5;False
2023-01-27;0;0;70;1;4;False
2023-01-28;0;1;75;2;5;False
2023-01-29;0;0;90;2;5;False
2023-01-30;0;0;70;1;8;False
2023-01-31;0;1;74;1;7;False
