date;Hanif Kureishi;virgin atlantic;Golf;Notting Hill carnival;air travel;isPartial
2023-01-01;0;6;82;0;1;False
2023-01-02;0;6;81;0;1;False
2023-01-03;0;6;69;0;1;False
2023-01-04;0;5;77;0;1;False
2023-01-05;0;5;75;0;1;False
2023-01-06;1;6;75;0;1;False
2023-01-07;1;5;78;0;1;False
2023-01-08;0;6;87;0;1;False
2023-01-09;1;6;81;0;1;False
2023-01-10;1;6;68;0;1;False
2023-01-11;1;5;67;0;1;False
2023-01-12;0;5;85;0;1;False
2023-01-13;0;5;73;0;1;False
2023-01-14;0;5;82;0;1;False
2023-01-15;1;6;83;0;1;False
2023-01-16;0;6;78;0;1;False
2023-01-17;0;5;73;0;1;False
2023-01-18;0;5;63;0;1;False
2023-01-19;0;5;71;0;1;False
2023-01-20;0;4;77;0;1;False
2023-01-21;0;5;92;0;1;False
2023-01-22;1;5;88;0;1;False
2023-01-23;0;5;74;0;1;False
2023-01-24;0;4;72;0;1;False
2023-01-25;0;4;79;0;1;False
2023-01-26;0;4;78;0;1;False
2023-01-27;0;4;80;0;1;False
2023-01-28;0;5;91;0;1;False
2023-01-29;0;5;100;0;1;False
2023-01-30;0;5;85;0;1;False
2023-01-31;0;5;79;0;1;False
