date;Veterinary medicine;Shopping;Jack Thorne;Kent holidays;air travel;isPartial
2023-01-01;0;97;0;1;3;False
2023-01-02;0;100;0;2;4;False
2023-01-03;0;71;0;1;2;False
2023-01-04;0;70;1;1;4;False
2023-01-05;1;77;0;0;3;False
2023-01-06;1;74;0;1;3;False
2023-01-07;0;80;0;1;2;False
2023-01-08;0;76;1;1;3;False
2023-01-09;0;66;0;1;2;False
2023-01-10;0;68;0;1;3;False
2023-01-11;0;66;0;1;4;False
2023-01-12;0;67;0;1;3;False
2023-01-13;1;63;0;1;2;False
2023-01-14;0;82;0;1;2;False
2023-01-15;1;74;0;0;3;False
2023-01-16;1;65;0;1;3;False
2023-01-17;0;69;0;1;2;False
2023-01-18;0;62;0;0;3;False
2023-01-19;1;64;0;1;3;False
2023-01-20;1;74;0;1;2;False
2023-01-21;0;83;0;1;3;False
2023-01-22;1;72;0;1;3;False
2023-01-23;0;64;0;1;3;False
2023-01-24;0;64;0;1;2;False
2023-01-25;1;63;0;1;3;False
2023-01-26;0;67;0;1;3;False
2023-01-27;0;68;0;0;2;False
2023-01-28;0;83;1;1;3;False
2023-01-29;1;74;0;2;2;False
2023-01-30;0;64;0;0;4;False
2023-01-31;1;64;0;0;3;False
