date;Airbnb;Plaid Cymru;Drugs;Wales holidays;air travel;isPartial
2023-01-01;87;0;28;7;3;False
2023-01-02;89;0;29;4;4;False
2023-01-03;90;0;32;4;2;False
2023-01-04;87;0;32;4;4;False
2023-01-05;83;0;33;4;3;False
2023-01-06;82;0;35;3;3;False
2023-01-07;81;0;30;4;2;False
2023-01-08;100;0;31;6;4;False
2023-01-09;85;1;38;4;2;False
2023-01-10;79;0;37;3;3;False
2023-01-11;77;0;36;3;4;False
2023-01-12;79;0;36;3;3;False
2023-01-13;73;0;45;3;3;False
2023-01-14;81;0;33;3;2;False
2023-01-15;97;0;35;6;3;False
2023-01-16;81;0;36;5;3;False
2023-01-17;78;0;34;3;2;False
2023-01-18;77;0;37;2;3;False
2023-01-19;69;0;34;2;3;False
2023-01-20;71;0;35;3;2;False
2023-01-21;81;0;31;3;3;False
2023-01-22;97;0;31;4;3;False
2023-01-23;85;1;35;3;3;False
2023-01-24;80;0;34;4;2;False
2023-01-25;77;0;34;3;3;False
2023-01-26;73;0;35;2;3;False
2023-01-27;71;1;33;2;2;False
2023-01-28;80;0;29;3;3;False
2023-01-29;88;0;33;3;3;False
2023-01-30;85;0;34;3;4;False
2023-01-31;80;0;33;3;4;False
