date;Wes Streeting;Joseph Beuys;Michael van Gerwen;Andy Serkis;air travel;isPartial
2023-01-01;0;0;46;1;15;False
2023-01-02;2;0;65;3;18;False
2023-01-03;1;0;100;3;12;False
2023-01-04;4;1;26;2;18;False
2023-01-05;0;0;5;2;15;False
2023-01-06;4;0;5;3;15;False
2023-01-07;9;0;2;3;11;False
2023-01-08;16;1;3;3;17;False
2023-01-09;11;0;8;0;10;False
2023-01-10;5;2;2;3;16;False
2023-01-11;3;0;2;3;18;False
2023-01-12;2;0;4;8;15;False
2023-01-13;2;0;4;6;12;False
2023-01-14;5;0;2;2;11;False
2023-01-15;7;2;2;0;13;False
2023-01-16;3;0;3;0;14;False
2023-01-17;3;0;1;3;11;False
2023-01-18;0;0;2;3;16;False
2023-01-19;13;0;2;3;15;False
2023-01-20;6;0;1;2;12;False
2023-01-21;4;0;3;4;13;False
2023-01-22;1;0;5;2;14;False
2023-01-23;0;0;1;4;14;False
2023-01-24;3;0;0;2;11;False
2023-01-25;0;0;0;4;15;False
2023-01-26;2;0;1;2;14;False
2023-01-27;0;0;0;3;9;False
2023-01-28;0;0;6;3;13;False
2023-01-29;0;0;7;0;12;False
2023-01-30;2;1;2;2;20;False
2023-01-31;1;3;0;2;17;False
