date;Religion;Jamie Lee Curtis;Jessica Chastain;sam bankman-fried;air travel;isPartial
2023-01-01;100;17;5;3;12;False
2023-01-02;79;11;3;2;15;False
2023-01-03;70;9;3;10;9;False
2023-01-04;82;5;7;7;14;False
2023-01-05;82;8;2;4;12;False
2023-01-06;71;8;6;3;12;False
2023-01-07;75;11;3;5;9;False
2023-01-08;78;13;4;0;14;False
2023-01-09;78;7;1;3;8;False
2023-01-10;81;12;5;2;13;False
2023-01-11;89;28;9;3;14;False
2023-01-12;88;20;4;4;12;False
2023-01-13;79;10;6;4;10;False
2023-01-14;75;12;6;1;9;False
2023-01-15;83;15;3;3;11;False
2023-01-16;91;6;0;4;11;False
2023-01-17;84;11;2;0;9;False
2023-01-18;83;13;2;2;13;False
2023-01-19;82;15;5;1;12;False
2023-01-20;77;16;0;0;9;False
2023-01-21;84;19;5;2;10;False
2023-01-22;89;14;1;0;11;False
2023-01-23;82;5;2;0;12;False
2023-01-24;84;18;3;0;9;False
2023-01-25;74;21;3;0;12;False
2023-01-26;81;8;1;2;11;False
2023-01-27;80;8;2;1;8;False
2023-01-28;68;11;6;0;11;False
2023-01-29;94;9;5;1;10;False
2023-01-30;81;6;0;0;16;False
2023-01-31;80;6;2;0;13;False
