date;Costa Rica holidays;Barbados;Sufism;taylor hawkins;air travel;isPartial
2023-01-01;3;71;0;48;8;False
2023-01-02;2;70;1;31;9;False
2023-01-03;2;72;0;5;6;False
2023-01-04;1;100;1;3;9;False
2023-01-05;3;71;0;2;7;False
2023-01-06;4;65;1;2;7;False
2023-01-07;2;72;1;4;5;False
2023-01-08;3;80;0;4;9;False
2023-01-09;5;67;0;2;5;False
2023-01-10;2;65;0;4;8;False
2023-01-11;2;67;0;13;9;False
2023-01-12;1;65;0;4;8;False
2023-01-13;2;58;0;3;6;False
2023-01-14;3;65;0;3;6;False
2023-01-15;2;64;0;3;7;False
2023-01-16;3;55;0;1;7;False
2023-01-17;1;51;0;1;6;False
2023-01-18;2;55;2;0;8;False
2023-01-19;1;50;1;2;7;False
2023-01-20;3;57;0;2;6;False
2023-01-21;2;63;0;3;6;False
2023-01-22;2;60;1;3;7;False
2023-01-23;2;51;0;1;7;False
2023-01-24;1;48;0;0;6;False
2023-01-25;2;67;1;3;8;False
2023-01-26;1;48;0;1;7;False
2023-01-27;2;47;1;2;5;False
2023-01-28;2;47;1;1;7;False
2023-01-29;3;62;0;2;6;False
2023-01-30;1;51;0;0;10;False
2023-01-31;2;50;1;1;8;False
