date;home office;world cup 2022;Podemos;Rome holidays;air travel;isPartial
2023-01-01;42;82;1;19;18;False
2023-01-02;68;76;0;16;21;False
2023-01-03;89;63;0;10;14;False
2023-01-04;93;67;0;12;20;False
2023-01-05;84;50;4;12;17;False
2023-01-06;72;62;1;11;17;False
2023-01-07;60;59;2;10;12;False
2023-01-08;61;69;0;12;19;False
2023-01-09;92;52;0;8;12;False
2023-01-10;87;48;0;11;18;False
2023-01-11;86;50;2;9;21;False
2023-01-12;82;39;1;9;17;False
2023-01-13;83;49;0;9;14;False
2023-01-14;57;56;0;17;13;False
2023-01-15;64;61;3;16;15;False
2023-01-16;100;40;1;12;16;False
2023-01-17;87;36;1;8;13;False
2023-01-18;81;27;0;11;18;False
2023-01-19;85;40;0;6;17;False
2023-01-20;84;41;0;6;14;False
2023-01-21;56;40;0;12;15;False
2023-01-22;62;46;2;14;16;False
2023-01-23;99;41;0;14;17;False
2023-01-24;90;36;0;7;13;False
2023-01-25;91;36;3;13;17;False
2023-01-26;86;28;1;6;16;False
2023-01-27;82;42;0;7;11;False
2023-01-28;55;40;0;10;15;False
2023-01-29;68;40;0;10;14;False
2023-01-30;91;27;0;8;23;False
2023-01-31;87;38;3;0;19;False
