date;Radio drama;Graham Swift;Mark Zuckerberg;Cities;air travel;isPartial
2023-01-01;1;0;6;49;6;False
2023-01-02;1;0;4;50;7;False
2023-01-03;0;0;2;45;4;False
2023-01-04;1;0;2;44;6;False
2023-01-05;0;0;2;47;5;False
2023-01-06;2;0;2;43;5;False
2023-01-07;1;0;2;100;4;False
2023-01-08;0;0;4;58;6;False
2023-01-09;1;0;2;50;4;False
2023-01-10;1;0;2;44;6;False
2023-01-11;1;0;1;43;6;False
2023-01-12;1;0;1;48;5;False
2023-01-13;1;1;1;41;4;False
2023-01-14;2;0;2;45;4;False
2023-01-15;1;0;2;48;5;False
2023-01-16;2;0;2;45;5;False
2023-01-17;2;1;1;41;4;False
2023-01-18;1;1;1;43;6;False
2023-01-19;2;0;2;44;5;False
2023-01-20;1;0;2;44;4;False
2023-01-21;1;2;1;42;5;False
2023-01-22;1;0;3;49;5;False
2023-01-23;1;1;2;43;5;False
2023-01-24;1;0;3;45;4;False
2023-01-25;1;0;5;40;5;False
2023-01-26;1;0;2;41;5;False
2023-01-27;2;1;1;44;3;False
2023-01-28;1;0;2;43;5;False
2023-01-29;1;0;2;51;4;False
2023-01-30;1;1;3;44;7;False
2023-01-31;1;0;2;45;6;False
