date;Keir Starmer;cristiano ronaldo;Sebastian Coe;George Pell;air travel;isPartial
2023-01-01;3;88;0;0;13;False
2023-01-02;5;71;0;0;15;False
2023-01-03;6;100;1;1;10;False
2023-01-04;6;70;3;0;15;False
2023-01-05;45;63;0;0;12;False
2023-01-06;17;64;0;0;12;False
2023-01-07;11;46;0;0;9;False
2023-01-08;16;46;0;0;14;False
2023-01-09;8;34;0;0;8;False
2023-01-10;14;36;0;15;13;False
2023-01-11;10;47;0;32;15;False
2023-01-12;11;35;0;14;13;False
2023-01-13;8;34;1;5;10;False
2023-01-14;8;37;1;3;9;False
2023-01-15;31;32;1;2;11;False
2023-01-16;31;21;0;3;12;False
2023-01-17;16;34;0;2;9;False
2023-01-18;35;30;3;0;14;False
2023-01-19;14;57;1;0;12;False
2023-01-20;36;39;0;0;10;False
2023-01-21;21;34;0;0;11;False
2023-01-22;8;47;0;0;12;False
2023-01-23;12;44;0;0;12;False
2023-01-24;9;24;1;0;9;False
2023-01-25;13;20;0;0;13;False
2023-01-26;6;29;0;0;11;False
2023-01-27;16;34;0;0;8;False
2023-01-28;16;30;2;0;11;False
2023-01-29;22;24;4;0;10;False
2023-01-30;8;25;0;2;17;False
2023-01-31;8;33;0;2;14;False
