date;las vegas;Nicholas Stern;Mark Drakeford;Berlin Wall;air travel;isPartial
2023-01-01;46;1;1;1;6;False
2023-01-02;37;0;1;3;7;False
2023-01-03;37;1;1;2;4;False
2023-01-04;37;0;2;2;7;False
2023-01-05;31;0;1;2;5;False
2023-01-06;54;0;1;2;5;False
2023-01-07;51;0;0;2;4;False
2023-01-08;56;0;0;3;6;False
2023-01-09;34;0;1;1;4;False
2023-01-10;36;0;1;3;6;False
2023-01-11;33;0;1;2;7;False
2023-01-12;33;0;1;2;6;False
2023-01-13;39;1;0;2;4;False
2023-01-14;42;0;0;2;4;False
2023-01-15;45;0;2;1;5;False
2023-01-16;33;0;0;2;5;False
2023-01-17;35;0;0;2;4;False
2023-01-18;34;0;0;3;6;False
2023-01-19;30;0;1;3;5;False
2023-01-20;34;1;0;3;4;False
2023-01-21;40;0;0;1;5;False
2023-01-22;41;0;0;4;5;False
2023-01-23;34;0;0;2;5;False
2023-01-24;31;0;0;3;4;False
2023-01-25;29;0;0;1;6;False
2023-01-26;33;0;0;1;5;False
2023-01-27;30;0;1;2;4;False
2023-01-28;37;0;100;3;5;False
2023-01-29;48;0;29;3;5;False
2023-01-30;34;0;7;3;7;False
2023-01-31;34;1;4;3;6;False
