date;Fleetwood Mac;Czechoslovakia;Grammy awards 2023;beth rigby interviews...podcast;air travel;isPartial
2023-01-01;53;19;0;0;19;False
2023-01-02;31;10;0;0;22;False
2023-01-03;24;12;0;0;14;False
2023-01-04;23;8;4;0;22;False
2023-01-05;25;6;1;0;18;False
2023-01-06;25;5;0;0;18;False
2023-01-07;35;5;0;0;13;False
2023-01-08;31;5;0;0;21;False
2023-01-09;36;5;0;0;12;False
2023-01-10;26;4;0;0;19;False
2023-01-11;24;3;0;0;22;False
2023-01-12;28;5;2;0;18;False
2023-01-13;32;2;0;0;15;False
2023-01-14;39;6;2;0;14;False
2023-01-15;25;5;5;0;16;False
2023-01-16;22;4;0;0;17;False
2023-01-17;19;5;2;0;14;False
2023-01-18;25;3;0;0;20;False
2023-01-19;24;4;2;0;18;False
2023-01-20;29;7;0;0;14;False
2023-01-21;31;1;0;0;15;False
2023-01-22;30;2;0;0;17;False
2023-01-23;26;5;2;0;18;False
2023-01-24;20;4;0;0;13;False
2023-01-25;20;4;0;0;18;False
2023-01-26;22;9;0;0;17;False
2023-01-27;100;4;0;0;11;False
2023-01-28;51;0;2;0;16;False
2023-01-29;30;0;0;0;15;False
2023-01-30;25;4;0;0;24;False
2023-01-31;28;4;2;0;20;False
