date;Fearne Cotton;Postal service;Online dating;Mahmoud Abbas;air travel;isPartial
2023-01-01;21;8;22;0;50;False
2023-01-02;11;18;21;4;59;False
2023-01-03;19;13;20;0;38;False
2023-01-04;36;7;24;0;58;False
2023-01-05;16;7;23;0;47;False
2023-01-06;26;14;20;0;48;False
2023-01-07;19;14;21;7;35;False
2023-01-08;28;0;19;0;55;False
2023-01-09;15;19;14;0;32;False
2023-01-10;29;11;23;6;51;False
2023-01-11;10;15;17;5;58;False
2023-01-12;11;8;21;0;48;False
2023-01-13;12;13;23;0;39;False
2023-01-14;20;0;0;0;36;False
2023-01-15;14;6;29;0;43;False
2023-01-16;14;24;16;0;45;False
2023-01-17;14;16;18;0;36;False
2023-01-18;13;13;13;0;52;False
2023-01-19;12;10;18;0;47;False
2023-01-20;12;11;21;0;38;False
2023-01-21;10;6;16;0;41;False
2023-01-22;100;5;15;0;46;False
2023-01-23;17;10;17;4;47;False
2023-01-24;18;13;31;0;36;False
2023-01-25;14;6;15;0;49;False
2023-01-26;17;6;16;0;44;False
2023-01-27;28;11;16;0;31;False
2023-01-28;62;8;13;0;43;False
2023-01-29;40;0;25;0;39;False
2023-01-30;51;0;10;0;65;False
2023-01-31;23;0;28;11;55;False
