date;Sewing;Turkmenistan;Northern Territory politics;Travel & leisure;air travel;isPartial
2023-01-01;88;1;0;0;12;False
2023-01-02;91;29;0;0;14;False
2023-01-03;83;3;0;0;9;False
2023-01-04;83;2;0;0;14;False
2023-01-05;91;3;0;1;11;False
2023-01-06;82;3;0;0;11;False
2023-01-07;95;2;0;0;8;False
2023-01-08;100;3;0;1;13;False
2023-01-09;76;3;0;0;8;False
2023-01-10;95;2;0;0;12;False
2023-01-11;83;0;0;0;14;False
2023-01-12;77;4;0;0;11;False
2023-01-13;78;2;0;1;9;False
2023-01-14;96;2;0;0;9;False
2023-01-15;88;2;0;0;10;False
2023-01-16;80;4;0;0;11;False
2023-01-17;81;2;0;1;9;False
2023-01-18;77;2;0;0;12;False
2023-01-19;78;4;0;0;11;False
2023-01-20;82;3;0;0;9;False
2023-01-21;89;3;0;0;10;False
2023-01-22;92;1;0;0;11;False
2023-01-23;82;2;0;0;11;False
2023-01-24;91;0;0;1;8;False
2023-01-25;74;2;0;0;12;False
2023-01-26;84;1;0;2;10;False
2023-01-27;75;1;0;0;7;False
2023-01-28;92;1;0;0;10;False
2023-01-29;95;3;0;0;9;False
2023-01-30;83;2;0;0;15;False
2023-01-31;95;3;0;0;13;False
